Date,Content,User,Sentiment,Month
2022-09-27,would you attend a fake wedding for the aesthetic?,user_fakeweddings_0,-0.5,2022-09
2022-11-29,would you attend a fake wedding for the aesthetic?,user_fakeweddings_1,-0.5,2022-11
2022-08-20,this shoot felt too real 😳,user_fakeweddings_2,0.2,2022-08
2025-06-15,had a fake wedding for content and cried real tears 😭,user_fakeweddings_3,-0.15,2025-06
2022-10-06,would you attend a fake wedding for the aesthetic?,user_fakeweddings_4,-0.5,2022-10
2024-05-15,this shoot felt too real 😳,user_fakeweddings_5,0.2,2024-05
2023-06-08,this shoot felt too real 😳,user_fakeweddings_6,0.2,2023-06
2024-05-20,this shoot felt too real 😳,user_fakeweddings_7,0.2,2024-05
2022-10-05,would you attend a fake wedding for the aesthetic?,user_fakeweddings_8,-0.5,2022-10
2023-09-27,fake wedding but real drama!,user_fakeweddings_9,-0.125,2023-09
2025-04-05,this shoot felt too real 😳,user_fakeweddings_10,0.2,2025-04
2024-10-21,would you attend a fake wedding for the aesthetic?,user_fakeweddings_11,-0.5,2024-10
2024-02-26,fake wedding but real drama!,user_fakeweddings_12,-0.125,2024-02
2022-02-11,this shoot felt too real 😳,user_fakeweddings_13,0.2,2022-02
2022-09-29,would you attend a fake wedding for the aesthetic?,user_fakeweddings_14,-0.5,2022-09
2024-12-19,this shoot felt too real 😳,user_fakeweddings_15,0.2,2024-12
2023-03-05,had a fake wedding for content and cried real tears 😭,user_fakeweddings_16,-0.15,2023-03
2025-04-12,had a fake wedding for content and cried real tears 😭,user_fakeweddings_17,-0.15,2025-04
2023-04-29,would you attend a fake wedding for the aesthetic?,user_fakeweddings_18,-0.5,2023-04
2025-02-12,fake wedding but real drama!,user_fakeweddings_19,-0.125,2025-02
2023-03-01,had a fake wedding for content and cried real tears 😭,user_fakeweddings_20,-0.15,2023-03
2023-02-16,would you attend a fake wedding for the aesthetic?,user_fakeweddings_21,-0.5,2023-02
2024-09-10,fake wedding but real drama!,user_fakeweddings_22,-0.125,2024-09
2023-03-09,fake wedding but real drama!,user_fakeweddings_23,-0.125,2023-03
2022-05-08,had a fake wedding for content and cried real tears 😭,user_fakeweddings_24,-0.15,2022-05
2022-10-11,fake wedding but real drama!,user_fakeweddings_25,-0.125,2022-10
2023-01-20,fake wedding but real drama!,user_fakeweddings_26,-0.125,2023-01
2022-08-21,fake wedding but real drama!,user_fakeweddings_27,-0.125,2022-08
2023-09-05,this shoot felt too real 😳,user_fakeweddings_28,0.2,2023-09
2024-12-26,this shoot felt too real 😳,user_fakeweddings_29,0.2,2024-12
2025-05-26,this shoot felt too real 😳,user_fakeweddings_30,0.2,2025-05
2022-04-15,had a fake wedding for content and cried real tears 😭,user_fakeweddings_31,-0.15,2022-04
2022-12-19,this shoot felt too real 😳,user_fakeweddings_32,0.2,2022-12
2022-12-13,would you attend a fake wedding for the aesthetic?,user_fakeweddings_33,-0.5,2022-12
2024-06-30,would you attend a fake wedding for the aesthetic?,user_fakeweddings_34,-0.5,2024-06
2025-06-25,had a fake wedding for content and cried real tears 😭,user_fakeweddings_35,-0.15,2025-06
2022-11-14,had a fake wedding for content and cried real tears 😭,user_fakeweddings_36,-0.15,2022-11
2022-12-27,would you attend a fake wedding for the aesthetic?,user_fakeweddings_37,-0.5,2022-12
2023-03-30,fake wedding but real drama!,user_fakeweddings_38,-0.125,2023-03
2024-09-30,had a fake wedding for content and cried real tears 😭,user_fakeweddings_39,-0.15,2024-09
2023-11-03,had a fake wedding for content and cried real tears 😭,user_fakeweddings_40,-0.15,2023-11
2025-06-04,would you attend a fake wedding for the aesthetic?,user_fakeweddings_41,-0.5,2025-06
2022-05-07,fake wedding but real drama!,user_fakeweddings_42,-0.125,2022-05
2022-07-24,this shoot felt too real 😳,user_fakeweddings_43,0.2,2022-07
2025-05-24,would you attend a fake wedding for the aesthetic?,user_fakeweddings_44,-0.5,2025-05
2024-10-24,would you attend a fake wedding for the aesthetic?,user_fakeweddings_45,-0.5,2024-10
2023-08-09,had a fake wedding for content and cried real tears 😭,user_fakeweddings_46,-0.15,2023-08
2024-08-27,this shoot felt too real 😳,user_fakeweddings_47,0.2,2024-08
2025-04-17,fake wedding but real drama!,user_fakeweddings_48,-0.125,2025-04
2023-06-06,had a fake wedding for content and cried real tears 😭,user_fakeweddings_49,-0.15,2023-06
2024-04-13,fake wedding but real drama!,user_fakeweddings_50,-0.125,2024-04
2023-08-18,fake wedding but real drama!,user_fakeweddings_51,-0.125,2023-08
2024-05-05,this shoot felt too real 😳,user_fakeweddings_52,0.2,2024-05
2024-07-10,fake wedding but real drama!,user_fakeweddings_53,-0.125,2024-07
2024-09-05,fake wedding but real drama!,user_fakeweddings_54,-0.125,2024-09
2022-09-13,fake wedding but real drama!,user_fakeweddings_55,-0.125,2022-09
2023-10-12,this shoot felt too real 😳,user_fakeweddings_56,0.2,2023-10
2022-05-16,this shoot felt too real 😳,user_fakeweddings_57,0.2,2022-05
2022-07-31,had a fake wedding for content and cried real tears 😭,user_fakeweddings_58,-0.15,2022-07
2024-09-15,fake wedding but real drama!,user_fakeweddings_59,-0.125,2024-09
2023-12-01,had a fake wedding for content and cried real tears 😭,user_fakeweddings_60,-0.15,2023-12
2024-02-26,had a fake wedding for content and cried real tears 😭,user_fakeweddings_61,-0.15,2024-02
2024-10-31,had a fake wedding for content and cried real tears 😭,user_fakeweddings_62,-0.15,2024-10
2024-04-26,this shoot felt too real 😳,user_fakeweddings_63,0.2,2024-04
2023-10-19,fake wedding but real drama!,user_fakeweddings_64,-0.125,2023-10
2023-06-11,fake wedding but real drama!,user_fakeweddings_65,-0.125,2023-06
2023-10-22,this shoot felt too real 😳,user_fakeweddings_66,0.2,2023-10
2023-10-23,had a fake wedding for content and cried real tears 😭,user_fakeweddings_67,-0.15,2023-10
2023-03-26,had a fake wedding for content and cried real tears 😭,user_fakeweddings_68,-0.15,2023-03
2022-03-30,this shoot felt too real 😳,user_fakeweddings_69,0.2,2022-03
2024-12-19,had a fake wedding for content and cried real tears 😭,user_fakeweddings_70,-0.15,2024-12
2023-10-19,fake wedding but real drama!,user_fakeweddings_71,-0.125,2023-10
2022-08-20,this shoot felt too real 😳,user_fakeweddings_72,0.2,2022-08
2025-02-01,fake wedding but real drama!,user_fakeweddings_73,-0.125,2025-02
2022-03-30,had a fake wedding for content and cried real tears 😭,user_fakeweddings_74,-0.15,2022-03
2024-11-25,fake wedding but real drama!,user_fakeweddings_75,-0.125,2024-11
2023-09-03,fake wedding but real drama!,user_fakeweddings_76,-0.125,2023-09
2023-03-13,had a fake wedding for content and cried real tears 😭,user_fakeweddings_77,-0.15,2023-03
2025-04-10,would you attend a fake wedding for the aesthetic?,user_fakeweddings_78,-0.5,2025-04
