Date,Content,User,Sentiment,Month
2023-09-17,honestly labubu gives me so much serotonin 💖,user_0,0.4,2023-09
2024-12-08,why is labubu trending again?,user_1,0.0,2024-12
2025-04-19,feeling that #yearning vibe with labubu rn,user_2,0.0,2025-04
2023-03-05,labubu-core is real 🔥,user_3,0.2,2023-03
2022-03-11,labubu-core is real 🔥,user_4,0.2,2022-03
2023-02-28,i need more labubu in my life 🐰✨,user_5,0.5,2023-02
2023-08-15,feeling that #yearning vibe with labubu rn,user_6,0.0,2023-08
2022-02-05,labubu-core is real 🔥,user_7,0.2,2022-02
2023-05-15,i just got my first labubu! 😍,user_8,0.3125,2023-05
2023-06-19,why is labubu trending again?,user_9,0.0,2023-06
2025-06-03,feeling that #yearning vibe with labubu rn,user_10,0.0,2025-06
2024-06-30,i need more labubu in my life 🐰✨,user_11,0.5,2024-06
2024-07-22,labubu-core is real 🔥,user_12,0.2,2024-07
2023-11-05,honestly labubu gives me so much serotonin 💖,user_13,0.4,2023-11
2024-08-21,feeling that #yearning vibe with labubu rn,user_14,0.0,2024-08
2024-12-15,why is labubu trending again?,user_15,0.0,2024-12
2022-01-13,labubu-core is real 🔥,user_16,0.2,2022-01
2024-02-18,i need more labubu in my life 🐰✨,user_17,0.5,2024-02
2024-04-16,i need more labubu in my life 🐰✨,user_18,0.5,2024-04
2024-03-04,honestly labubu gives me so much serotonin 💖,user_19,0.4,2024-03
2025-04-23,why is labubu trending again?,user_20,0.0,2025-04
2023-10-20,i just got my first labubu! 😍,user_21,0.3125,2023-10
2023-09-13,i just got my first labubu! 😍,user_22,0.3125,2023-09
2024-07-05,feeling that #yearning vibe with labubu rn,user_23,0.0,2024-07
2024-05-17,labubu-core is real 🔥,user_24,0.2,2024-05
2024-02-14,labubu-core is real 🔥,user_25,0.2,2024-02
2023-10-10,i need more labubu in my life 🐰✨,user_26,0.5,2023-10
2023-05-21,i need more labubu in my life 🐰✨,user_27,0.5,2023-05
2022-12-01,feeling that #yearning vibe with labubu rn,user_28,0.0,2022-12
2024-10-06,why is labubu trending again?,user_29,0.0,2024-10
2024-12-01,labubu-core is real 🔥,user_30,0.2,2024-12
2023-08-19,i need more labubu in my life 🐰✨,user_31,0.5,2023-08
2023-11-28,why is labubu trending again?,user_32,0.0,2023-11
2024-05-20,labubu-core is real 🔥,user_33,0.2,2024-05
2023-04-19,labubu-core is real 🔥,user_34,0.2,2023-04
2023-10-24,i just got my first labubu! 😍,user_35,0.3125,2023-10
2023-07-21,why is labubu trending again?,user_36,0.0,2023-07
2022-02-05,honestly labubu gives me so much serotonin 💖,user_37,0.4,2022-02
2023-10-16,i need more labubu in my life 🐰✨,user_38,0.5,2023-10
2023-10-13,labubu-core is real 🔥,user_39,0.2,2023-10
2022-01-07,why is labubu trending again?,user_40,0.0,2022-01
2024-07-26,labubu-core is real 🔥,user_41,0.2,2024-07
2025-02-24,honestly labubu gives me so much serotonin 💖,user_42,0.4,2025-02
2024-12-12,labubu-core is real 🔥,user_43,0.2,2024-12
2022-09-23,labubu-core is real 🔥,user_44,0.2,2022-09
2023-05-10,i need more labubu in my life 🐰✨,user_45,0.5,2023-05
2022-06-16,feeling that #yearning vibe with labubu rn,user_46,0.0,2022-06
2023-02-24,i need more labubu in my life 🐰✨,user_47,0.5,2023-02
2025-06-21,i just got my first labubu! 😍,user_48,0.3125,2025-06
2023-09-12,i just got my first labubu! 😍,user_49,0.3125,2023-09
